url,genre,formed,years,location,releases
https://www.metal-archives.com/bands/Aeon_Aethereal/3540258444,Melodic Death/Thrash/Black Metal,2004,"2004 (as BloodForge), 2004-2011","Tallinn, Harju County",['2008']
https://www.metal-archives.com/bands/Aggressor/16524,Death/Thrash Metal,1989,"1989-1995, 1995-? (as No-Big-Silence), 2015-present","Tallinn, Harju County","['1990', '1991', '1993', '1994']"
https://www.metal-archives.com/bands/Aghor/3540376859,Death Metal with Punk influences,2013,2013-present,"Tallinn, Harju County","['2013', '2014', '2018']"
https://www.metal-archives.com/bands/Ah_Dzam/31674,Black Metal,N/A,N/A,"Estonia (early); West Virginia, United States (later)",['1996']
https://www.metal-archives.com/bands/Altheria/3540308353,Melodic Death/Thrash Metal,2006,2006-?,"Põlva, Põlva County","['2010', '2010']"
https://www.metal-archives.com/bands/Anal_Caves/3540482728,Grindcore,N/A,N/A,"Luulupe, Saare County",['2010']
https://www.metal-archives.com/bands/Analysis/50330,Heavy Metal/Hard Rock,2004,2004-present,"Võru, Võru County","['2005', '2009']"
https://www.metal-archives.com/bands/Ancient_Hatred/32551,Black Metal,1995,1995-?,"Tallinn, Harju County","['1996', '1997', '1997', '1999', '2000', '2002', '2003', '2004', '2005', '2005', '2005']"
https://www.metal-archives.com/bands/Archmages/33465,Doom/Gothic Metal,2000,"1998-2000 (as Refinery), 2000-2004","Tallinn, Harju County","['2001', '2002', '2002', '2002']"
https://www.metal-archives.com/bands/Arestor/3540544148,Blackened Death Metal,2023,2023-present,"Võru, Võru County","['2024', '2025']"
https://www.metal-archives.com/bands/A%C5%A1-%C5%A1ur/3540554244,Technical Death Metal,2024,2024-present,"Tallinn, Harju County","['2024', '2025']"
https://www.metal-archives.com/bands/Ascent/24128,Thrash Metal,1992,1992-1995,"Haapsalu, Lääne County",['1993']
https://www.metal-archives.com/bands/%C3%84ss/98709,Progressive Metal,2005,2005-?,"Tartu, Tartu County",['2007']
https://www.metal-archives.com/bands/Assamalla/6251,Black Metal,1996,1996-?,"Pärnu, Pärnu County","['1999', '2000', '2008']"
https://www.metal-archives.com/bands/Avantyr/3540547300,Melodic Death/Folk Metal,N/A,N/A,"Tartu, Tartu County","['2020', '2020', '2022', '2022', '2023', '2024', '2024']"
https://www.metal-archives.com/bands/B.D.%C3%96./38027,"Heavy/Thrash Metal, Crossover",1990,1990-1996,"Tallinn, Harju County","['1991', '1992', '1993', '1994', '1994', '1995', '2009', '2009']"
https://www.metal-archives.com/bands/Baalsebub/3540372917,Brutal Death Metal,2013,2013-present,"Tallinn, Harju County","['2013', '2014', '2016', '2018', '2022']"
https://www.metal-archives.com/bands/Bad_Influence/3540548569,Thrash Metal,1989,1989-present,"Pärnu-Jaagupi, Pärnu County/Tallinn, Harju County",['2024']
https://www.metal-archives.com/bands/Bestia/6522,Epic Pagan Black Metal,2000,2000-present,"Tallinn, Harju County","['2001', '2002', '2003', '2004', '2006', '2007', '2008', '2009', '2010', '2010', '2010', '2010', '2017', '2018', '2019', '2022', '2023']"
https://www.metal-archives.com/bands/Beyond_the_Structure/3540374934,Technical Death Metal,2012,2012-present,"Tallinn, Harju County","['2013', '2014', '2018', '2022', '2022', '2022', '2022', '2025', '2025']"
https://www.metal-archives.com/bands/BlackPaul/80691,Heavy Metal,2005,2005-?,"Tallinn, Harju County (early); Vancouver, British Columbia, Canada (later)",['2006']
https://www.metal-archives.com/bands/BloodForge/56781,Melodic Death/Thrash Metal,2004,"2004, 2004-2011 (as Aeon Aethereal)","Tallinn, Harju County",['2006']
https://www.metal-archives.com/bands/Bloodrain/24247,Heavy Metal,2000,2000-2002,"Tallinn, Harju County","['2000', '2002']"
https://www.metal-archives.com/bands/Bloodstrength/58353,Black/Death Metal,N/A,N/A,N/A,[]
https://www.metal-archives.com/bands/Brad_Jurjens/3540460030,Heavy Metal/Shred (early); Rock (later),2013,2013-present,"Tallinn, Harju County","['2015', '2015', '2016', '2017', '2018', '2021', '2021', '2021', '2023']"
https://www.metal-archives.com/bands/Br%C3%BCte/3540521504,Experimental Death Metal,2022,2022-present,N/A,"['2022', '2025']"
https://www.metal-archives.com/bands/Burn_Still/84154,Melodic Death Metal/Metalcore,2006,2006-present,"Tallinn, Harju County","['2006', '2006', '2009', '2012', '2021', '2022']"
https://www.metal-archives.com/bands/C.C.C./37736,Death Metal,1992,1992-1995,"Türi, Järva County","['1993', '1994']"
https://www.metal-archives.com/bands/Cantilena/3540345855,Thrash Metal,2009,2009-present,"Tallinn, Harju County","['2010', '2012']"
https://www.metal-archives.com/bands/Carnifex/7688,Progressive Death Metal,1993,"1993-2003, 2003-present (as Kantor Voy)","Tallinn, Harju County","['1995', '1997', '1999']"
https://www.metal-archives.com/bands/Catafalc/22723,Death Metal,1999,1999-present,"Tallinn, Harju County","['2001', '2002', '2004', '2006', '2007', '2008']"
https://www.metal-archives.com/bands/Catalepsy/28726,Industrial/Death Metal,2000,2000-?,"Räpina, Põlva County","['2002', '2003']"
https://www.metal-archives.com/bands/Catnap/3540510384,Heavy/Power Metal,2008,2008-2017,"Tallinn, Harjumaa",['2016']
https://www.metal-archives.com/bands/Celestial_Crown/6336,Gothic/Doom/Black Metal,1999,"?-? (as Celebratum), 1999-present","Tartu, Tartu County","['2001', '2002', '2004', '2005', '2006', '2006', '2014', '2014', '2016', '2024']"
https://www.metal-archives.com/bands/Cenotaph/31982,Death Metal,1993,1993-1996,"Pärnu, Pärnu County",['1995']
https://www.metal-archives.com/bands/Ceremonial_Perfection/3540254993,Melodic Death Metal,2007,2007-2013,"Tallinn, Harju County","['2008', '2011', '2012']"
https://www.metal-archives.com/bands/Condescension/3540398228,Black/Death Metal,2014,"2014-2021, 2023-present","Narva, Ida-Viru County","['2015', '2015', '2016', '2019', '2019']"
https://www.metal-archives.com/bands/Connatural_Terror/3540329713,Death Metal,N/A,N/A,"Põlva, Põlva County","['2011', '2015']"
https://www.metal-archives.com/bands/Creature/31987,Thrash Metal,1988,1988-1993,"Tallinn, Harju County",['1993']
https://www.metal-archives.com/bands/Cryptica/3540406257,Groove Metal,2011,2011-2018,"Tallinn, Harju County","['2013', '2021']"
https://www.metal-archives.com/bands/Cunt_Carnage/3540486114,Goregrind,2011,"2010-2011 (as Bockkake), 2011-?","Jõhvi, Ida-Viru County","['2013', '2015']"
https://www.metal-archives.com/bands/D.N.R./24143,Black Metal/Grindcore,1996,1996-2006,"Tallinn, Harju County","['2000', '2000', '2006']"
https://www.metal-archives.com/bands/Dalen/3540494988,Black/Doom Metal/Dark Ambient,N/A,N/A,N/A,"['2021', '2021', '2021', '2021', '2021', '2021', '2021', '2022']"
https://www.metal-archives.com/bands/Dark_Crowd/3540510697,Melodic Death/Industrial/Gothic Metal,2011,2011-?,"Narva, Ida-Viru County",['2013']
https://www.metal-archives.com/bands/Darkheart/3540543720,Black Metal,2023,2023-present,"Tallinn, Harju County",['2024']
https://www.metal-archives.com/bands/Dawn_of_Gehenna/27945,Doom/Death Metal,1993,"1993-?, 2003-?","Tallinn, Harju County","['1994', '2005', '2007']"
https://www.metal-archives.com/bands/Decease/36749,Death Metal,1992,1992-1996,"Rakvere, Lääne-Viru County",['1994']
https://www.metal-archives.com/bands/Deceitome/3540420969,Death Metal,2015,2015-present,"Tallinn, Harju County","['2016', '2016', '2019', '2019', '2024']"
https://www.metal-archives.com/bands/Defeatem/3540401765,Thrash/Groove Metal,2010,2010-present,"Valga, Valga County","['2012', '2015', '2019', '2020', '2020', '2021', '2021', '2021']"
https://www.metal-archives.com/bands/Degenerat%C3%B6r/3540498622,Speed/Thrash Metal,2021,"2021-2022, 2022-present (as Käptör)","Tartu, Tartu County",['2021']
https://www.metal-archives.com/bands/Deilegium/14270,Melodic Black Metal,1995,1995-1999,"Tallinn, Harju County","['1996', '1998']"
https://www.metal-archives.com/bands/Demerara/3540561650,Technical/Brutal Deathcore,N/A,N/A,"Haapsalu, Lääne County",['2023']
https://www.metal-archives.com/bands/Desolate_Soul/3540305310,Black Metal,2010,2010-?,N/A,"['2010', '2011']"
https://www.metal-archives.com/bands/Destroy_Uranus/3540434779,Sludge/Doom Metal,2014,2014-present,"Tallinn, Harju County","['2017', '2019']"
https://www.metal-archives.com/bands/Devotus_Regnum/24155,Symphonic Black Metal,2000,2000-?,"Narva, Ida-Viru County","['2002', '2003', '2004', '2005', '2007']"
https://www.metal-archives.com/bands/Discrucior/16409,Death/Doom Metal,1993,1993-2000,"Rakvere, Lääne-Viru County","['1993', '1994', '1995']"
https://www.metal-archives.com/bands/Diversia/22310,Folk Metal,1995,1995-2000,"Tallinn, Harju County",['1999']
https://www.metal-archives.com/bands/Drat/55673,Gothic/Heavy/Thrash Metal,1995,1995-2000,"Tallinn, Harju County",['1999']
https://www.metal-archives.com/bands/Dreadpin/3540411151,Progressive Metal,2008,2008-present,"Tallinn, Harju County","['2016', '2022', '2022', '2022', '2022']"
https://www.metal-archives.com/bands/Dreadrealm/3540425812,Ambient/Atmospheric Black Metal,2016,"2016-2019, 2022-present","Võhma, Viljandi County","['2017', '2022', '2023', '2023']"
https://www.metal-archives.com/bands/Dr%C3%B6pdn%C3%B6/3540469013,Doom/Post-Metal,N/A,?-2021,"Tallinn, Harju County","['2018', '2019', '2020', '2021']"
https://www.metal-archives.com/bands/Echosilence/7690,Progressive Metal,1996,1996-?,"Tallinn, Harju County","['1997', '1998', '2005']"
https://www.metal-archives.com/bands/Ecthalion/5958,Gothic/Doom Metal,1998,"1998-2004, 2008-2009, 2018-present","Tallinn, Harju County",['2000']
https://www.metal-archives.com/bands/Elitariat/3540534665,Progressive Metal/Djent,N/A,N/A,"Tallinn, Harju County","['2023', '2023', '2023', '2023']"
https://www.metal-archives.com/bands/Embryoctomy/28667,Thrash/Black Metal,1993,"1993-1994, 1994-? (as Winter Night Overture)","Tallinn, Harju County",['1994']
https://www.metal-archives.com/bands/Emphasis/3540357705,Symphonic Power Metal (early); Progressive Rock (later),2010,2010-present,"Tallinn, Harju County","['2012', '2013', '2013', '2014', '2016', '2018', '2020']"
https://www.metal-archives.com/bands/Empyros/126781,Heavy/Speed/Thrash Metal,2002,2002-?,"Tallinn, Harju County",['2008']
https://www.metal-archives.com/bands/Estoner/3540411203,Stoner Rock (early); Stoner/Sludge/Doom Metal (later),2009,2009-present,"Tallinn, Harju County","['2011', '2012', '2016', '2019', '2019', '2023', '2023']"
https://www.metal-archives.com/bands/Farani/3540533340,Melodic Death/Groove Metal,2022,2022-present,"Tallinn, Harju County","['2023', '2023', '2023']"
https://www.metal-archives.com/bands/Ferrum/3540530917,Heavy Metal,1987,"1987-?, 2016-present","Tallinn, Harju County",['2023']
https://www.metal-archives.com/bands/Fhtagn/3540414037,Doom/Stoner Metal,2013,2013-present,"Tartu, Tartu County","['2016', '2018', '2020', '2022']"
https://www.metal-archives.com/bands/Finish_Me_Off/78939,Industrial/Groove Metal,1999,1999-?,"Tartu, Tartu County","['2003', '2006']"
https://www.metal-archives.com/bands/Flytrap/39834,Heavy Metal,1992,1992-1995,"Tallinn, Harju County","['1992', '1994']"
https://www.metal-archives.com/bands/Follow_the_Hollow/3540527589,Melodic Death Metal/Metalcore,2023,2023-present,"Tallinn, Harju County",['2023']
https://www.metal-archives.com/bands/Fordonia/37723,Power Metal,1998,1998-2001,"Tartu, Tartu County","['1999', '2000']"
https://www.metal-archives.com/bands/Forfeit/32367,Brutal Death Metal,1993,"1993 (as Malediction), 1993-1996","Tallinn, Harju County","['1994', '1995']"
https://www.metal-archives.com/bands/Forgotten_Sunrise/4996,Atmospheric Doom/Death Metal (early); Electronic/Industrial (later),1992,1992-present,"Tallinn, Harju County","['1993', '1994', '1998', '2001', '2003', '2004', '2005', '2007', '2007', '2009', '2009', '2012', '2013', '2014', '2015', '2016', '2017', '2023']"
https://www.metal-archives.com/bands/Form/3540275167,Experimental Black Metal,2007,2007-present,"Tartu, Tartu County","['2009', '2017', '2020']"
https://www.metal-archives.com/bands/Gas/29776,Death Metal/Grindcore,2004,2004-?,"Põlva, Põlva County","['2004', '2004', '2013']"
https://www.metal-archives.com/bands/Goatsmegma/3540455442,Black/Death Metal,2018,2018-present,"Tallinn, Harju County","['2019', '2020', '2022', '2023', '2025']"
https://www.metal-archives.com/bands/Goresoerd/77493,Death Metal/Grindcore (early); Death/Groove Metal (later),2004,2004-present,"Tallinn, Harju County","['2006', '2007', '2008', '2010', '2010', '2012', '2013', '2015', '2016', '2017', '2019', '2020', '2020', '2021', '2021', '2024']"
https://www.metal-archives.com/bands/Grand_Oak/3540570517,Doom/Death Metal,2006,2006-?,N/A,[]
https://www.metal-archives.com/bands/Grav_Morbus/3540465511,Atmospheric Black/Post-Metal,2020,2020-present,"Tartu, Tartu County","['2020', '2020']"
https://www.metal-archives.com/bands/Graveater/3540502775,Death/Thrash Metal,2021,2021-present,"Tartu, Tartu County",['2022']
https://www.metal-archives.com/bands/Grendel/40240,Folk Metal,1993,1993-2000,"Tartu, Tartu County",['2000']
https://www.metal-archives.com/bands/Grom/24131,Black Metal,1997,1997-present,"Tallinn, Harju County","['2002', '2012', '2017', '2022', '2025']"
https://www.metal-archives.com/bands/Gunnar_Grapsi_Grupp/3540361423,Heavy Metal/Hard Rock,1984,"1976-1983 (as Magnetic Band), 1984-2003","Tallinn, Harju County","['1988', '1988', '2002']"
https://www.metal-archives.com/bands/Hasswald/3540535651,Black Metal,N/A,N/A,N/A,"['2023', '2025']"
https://www.metal-archives.com/bands/Head_Not_Found/119959,Black/Death Metal,2005,2005-?,"Tallinn, Harju County",['2008']
https://www.metal-archives.com/bands/Hebephrenia/3540457223,Brutal Death Metal,2019,2019-present,"Tartu, Tartu County","['2019', '2020', '2021']"
https://www.metal-archives.com/bands/Hell_Tanner/3540301887,Speed Metal,N/A,"? (as Radiaator), 1993-?","Tallinn, Harju County",['1993']
https://www.metal-archives.com/bands/Herald/14417,Heavy Metal,2000,2000-present,"Tallinn, Harju County","['2003', '2005', '2006', '2010', '2015', '2015', '2020', '2020', '2022', '2024', '2025']"
https://www.metal-archives.com/bands/Hirmuvalitseja/3540569839,Black/Death Metal,N/A,N/A,"Viimsi, Harju County",['2025']
https://www.metal-archives.com/bands/H%C3%B5bekuul/3540473052,Black 'n' Roll,N/A,N/A,"Tallinn, Harju County","['2018', '2018', '2019', '2020']"
https://www.metal-archives.com/bands/Horricane/20551,Death Metal,2002,2002-2017,"Tallinn, Harju County","['2003', '2004', '2005', '2009', '2014', '2016']"
https://www.metal-archives.com/bands/Howl/3540542581,Black Metal,N/A,N/A,"Tartu, Tartu County",['2024']
https://www.metal-archives.com/bands/Hukkunud_Hinged/3540269846,Doom Metal,2007,2007-present,"Tallinn, Harju County","['2008', '2008', '2008', '2010', '2013']"
https://www.metal-archives.com/bands/Human_Ground/23345,Progressive/Melodic Death Metal,2004,2004-2010,"Tallinn, Harju County","['2004', '2005']"
https://www.metal-archives.com/bands/Humanity/3540525451,Death Metal,2022,2022-present,"Tallinn, Harju County","['2023', '2024', '2024', '2025']"
https://www.metal-archives.com/bands/Hymenotomy/3540391155,Slam/Brutal Death Metal,2014,2014-present,"Tallinn, Harju County","['2014', '2015', '2015', '2017']"
https://www.metal-archives.com/bands/Ignorabimus/10997,Doom/Death Metal (early); Melodic Death Metal (later),1994,1994-2004,"Tallinn, Harju County","['1996', '1998', '2000', '2003', '2004']"
https://www.metal-archives.com/bands/Illuminated_Manuscripts/3540433774,Raw Black Metal,2016,2016-2024,"Tartu, Tartu County (early); Saint Petersburg, Russia (mid); Unknown (later)","['2017', '2019', '2020', '2020', '2020', '2021', '2023']"
https://www.metal-archives.com/bands/Imp/50372,Thrash Metal,2001,"2001-?, 2006-present (as Maleva)","Muhumaa, Saare County",['2004']
https://www.metal-archives.com/bands/Infernal_Destruction/3540396477,Black Metal,1996,1996-1997,"Tartu, Tartu County",['1996']
https://www.metal-archives.com/bands/Inferno/55672,Progressive/Power Metal,2000,"? (as Waterfall), 2000-?","Tallinn, Harju County",['2006']
https://www.metal-archives.com/bands/Instigator_of_Grief/35893,Heavy Metal,1998,"1998 (as Kryos), 1998-?","Tallinn, Harju County","['1998', '2000']"
https://www.metal-archives.com/bands/Intact/3540425674,Groove Metal,2014,2014-2021,"Tallinn, Harju County","['2017', '2019', '2019']"
https://www.metal-archives.com/bands/Intrepid/3540428991,Death Metal,2016,2016-present,"Tallinn, Harju County","['2016', '2017', '2020', '2022', '2023', '2023', '2025', '2025', '2025']"
https://www.metal-archives.com/bands/Irdhing/27660,Folk/Industrial/Pagan Black Metal,1999,1999-2002,"Haapsalu, Lääne County",['2002']
https://www.metal-archives.com/bands/Itk/3540338289,Symphonic Black Metal,2002,2002-present,"Tallinn, Harju County","['2010', '2023']"
https://www.metal-archives.com/bands/Jadira/3540467895,Stoner Metal,2014,2014-2021,"Tallinn, Harju County","['2015', '2019', '2019']"
https://www.metal-archives.com/bands/Kaldt/3540354241,Melodic Black Metal,2008,"2008-2009, 2011-2019, 2025-present","Jõhvi, Ida-Viru County (early); Rajaküla, Ida-Viru County (later)","['2008', '2009', '2012', '2013', '2025']"
https://www.metal-archives.com/bands/Kalm/11321,Black Metal,1995,1995-2000,"Tallinn, Harju County","['1995', '1996', '1998', '1999', '1999', '2000', '2000', '2008']"
https://www.metal-archives.com/bands/Kamaloka/24138,Death Metal,2003,2003-2008,"Tallinn, Harju County","['2005', '2005', '2007']"
https://www.metal-archives.com/bands/Kannabin%C3%B5id/3540351366,Stoner/Doom Metal,2009,2009-present,"Tallinn, Harju County","['2012', '2016', '2018', '2019', '2019', '2023', '2023', '2023']"
https://www.metal-archives.com/bands/Kantor_Voy/38288,Progressive Metal/Hard Rock,2003,"1993-2003 (as Carnifex), 2003-present","Tallinn, Harju County","['2003', '2010']"
https://www.metal-archives.com/bands/K%C3%A4pt%C3%B6r/3540543432,Speed/Thrash Metal,2022,"2021-2022 (as Degeneratör), 2022-present","Tartu, Tartu County","['2022', '2024', '2024']"
https://www.metal-archives.com/bands/Kartul/3540491386,Avant-garde/Progressive Thrash Metal/Spoken Word,N/A,N/A,N/A,"['2017', '2018', '2020', '2021']"
https://www.metal-archives.com/bands/Khillem/114341,Death/Groove Metal,2006,2006-present,"Tallinn, Harju County","['2007', '2009', '2012']"
https://www.metal-archives.com/bands/Khurdhost/54963,Black Metal,2003,2003-?,"Tallinn, Harju County",['2005']
https://www.metal-archives.com/bands/Killemboth/20015,Death Metal,2000,2000-?,"Tallinn, Harju County","['2002', '2002']"
https://www.metal-archives.com/bands/K%C3%B5du/3540484166,Black Metal,2018,2018-present,"Tallinn, Harju County",['2021']
https://www.metal-archives.com/bands/Koffin/3540468157,Death Metal,2019,2019-2021,"Tartu, Tartu County","['2020', '2020', '2020', '2021']"
https://www.metal-archives.com/bands/K%C3%B6rz%C3%B6m/3540501971,Black Metal,N/A,N/A,"Laagri, Harju County",['2013']
https://www.metal-archives.com/bands/K%C3%B5u/24249,Black/Doom Metal,2001,2001-?,"Tartu, Tartu County",[]
https://www.metal-archives.com/bands/K%C3%B5ukude_Tants/3540502362,Black Metal,2017,2017-present,"Tallinn, Harju County",['2021']
https://www.metal-archives.com/bands/K%C3%BClmking/3540459710,Groove Metal/Metalcore (early); Melodic Metalcore (later),2014,2014-present,"Tallinn, Harju County","['2018', '2018', '2019', '2019', '2019', '2020', '2022', '2022', '2023', '2023', '2024', '2024', '2024']"
https://www.metal-archives.com/bands/Kuritarvitaja/3540478925,Death 'n' Roll/Sludge Metal/Crust Punk,2017,2017-present,"Tartu, Tartu County","['2019', '2020', '2022', '2022', '2022']"
https://www.metal-archives.com/bands/Langenu/3540299777,Black Metal,2004,"2001-2003 (as Anathomia), 2004-present","Tartu, Tartu County","['2009', '2016', '2022']"
https://www.metal-archives.com/bands/Leek/3540511403,Progressive Groove/Thrash Metal,2004,2004-present,"Tallinn, Harju County",['2022']
https://www.metal-archives.com/bands/Lein/3540541876,Black Metal,2023,2023-present,"Tallinn, Harju County","['2024', '2025', '2025']"
https://www.metal-archives.com/bands/Les_Enfants_Terribles_-_The_Dreamers_-_Unistajad/3540468246,Black Metal,N/A,N/A,"Tallinn, Harju County",['2018']
https://www.metal-archives.com/bands/Leslie_Da_Bass/3540505551,Various,N/A,N/A,"Tallinn, Harju County","['2003', '2004', '2008', '2008', '2010', '2013', '2013', '2015', '2017', '2018', '2018', '2018', '2020', '2020', '2022', '2022', '2023', '2023', '2023']"
https://www.metal-archives.com/bands/Liblikas/3540426970,Progressive Sludge Metal/Stoner Rock,2010,2010-present,"Tallinn, Harju County","['2013', '2014', '2017']"
https://www.metal-archives.com/bands/Lihunik/3540528026,Death Metal/Grindcore,N/A,N/A,N/A,['2023']
https://www.metal-archives.com/bands/Loits/6184,Black Metal,1996,1996-present,"Tallinn, Harju County","['1999', '2000', '2001', '2003', '2004', '2004', '2004', '2004', '2006', '2007', '2007', '2007', '2012', '2013', '2016', '2019', '2020', '2024']"
https://www.metal-archives.com/bands/Long_Loff/3540435838,Heavy Metal/Hard Rock,1990,"1990-?, ?-? (as Strong Loff)","Tallinn, Harju County","['1990', '1990']"
https://www.metal-archives.com/bands/Lord_of_Hate/54390,Black Metal,2004,2004-?,"Tallinn, Harju County",['2004']
https://www.metal-archives.com/bands/Macbeth/37191,Thrash/Death Metal,1993,1993-1995,"Tartu, Tartu County","['1993', '1994']"
https://www.metal-archives.com/bands/Mad_Road/3540453219,Progressive Heavy/Thrash Metal,1989,"1989-1993, 2011-present","Tallinn, Harju County","['1993', '2014', '2017', '2023']"
https://www.metal-archives.com/bands/Mainswitch/3540522320,Deathcore,2007,2007-?,"Tallinn, Harju County",['2010']
https://www.metal-archives.com/bands/Maleva/71176,Pagan/Folk Metal (early); Melodic Thrash Metal (later),2006,"2001-? (as Imp), 2006-present","Muhumaa, Saare County","['2006', '2011', '2015', '2022', '2022', '2022']"
https://www.metal-archives.com/bands/Manatark/7546,Melodic Black Metal,1996,"1996-2008, 2015-present","Tallinn, Harju County","['1996', '1998', '2000', '2003', '2006']"
https://www.metal-archives.com/bands/Mang_Ont/3540394204,Stoner/Sludge/Doom Metal,2011,2011-present,"Tartu, Tartu County","['2015', '2017', '2019', '2022', '2024', '2024']"
https://www.metal-archives.com/bands/Manuscript/55437,Gothic/Death Metal,1994,"1994-1996, 1996-present (as Vigilia Mortum)","Kohtla-Järve, Ida-Viru County",['1995']
https://www.metal-archives.com/bands/Mardus/3540339580,Black Metal,2010,2010-present,"Põlva, Põlva County",['2010']
https://www.metal-archives.com/bands/Marutaud/3540528918,Grindcore,2023,2023-2024,"Tallinn, Harju County","['2023', '2024']"
https://www.metal-archives.com/bands/Mass_in_Comatose/3540308313,Death Metal,2007,2007-2015,"Tallinn, Harju County",['2009']
